Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-10-01 23:42:43,false,West Coast,12.01,628,01:19:02,165,186,3.7,154,176,6:35,4:42,38,21,0.98,0,0,--,--,--,--,0,0,0,1:19:02,0:00,29,0:00,No,00:02.02,13,0
Running,2020-09-28 23:08:06,false,West Coast,12.01,674,01:22:05,170,184,3.9,153,164,6:50,5:16,30,28,0.95,0,0,--,--,--,--,0,0,0,1:22:05,0:00,30,0:00,No,00:02.06,13,0
Other,2020-09-27 19:55:18,false,Table Tennis,0,612,01:55:53,140,180,3.1,8,157,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:55:53,0:00,28,0:00,No,01:55:53.43,1,0
Running,2020-09-24 23:40:59,false,West Coast,8.01,470,00:54:08,171,185,3.6,154,162,6:46,5:46,17,16,0.96,0,0,--,--,--,--,0,0,0,54:08,0:00,30,0:00,No,00:02.43,9,0
Other,2020-09-23 19:59:19,false,Table Tennis,0,873,01:51:55,156,171,3.6,8,187,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:51:55,0:00,31,0:00,No,01:51:55.17,1,0
Other,2020-09-20 19:59:32,false,Table Tennis,0,781,01:56:59,146,174,3.3,7,167,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:56:59,0:00,29,0:00,No,01:56:58.59,1,0
Running,2020-09-19 23:28:36,false,West Coast,2.05,97,00:10:11,171,193,2.5,168,176,4:58,4:22,8,8,1.2,0,0,--,--,--,--,0,0,0,10:11,0:00,30,0:00,No,00:13.87,3,0
Running,2020-09-16 23:22:58,false,West Coast,12.01,664,01:19:10,165,177,3.6,157,168,6:36,5:06,40,27,0.97,0,0,--,--,--,--,0,0,0,1:19:10,0:00,29,0:00,No,00:01.90,13,0
Running,2020-09-14 23:26:48,false,West Coast,7.01,377,00:45:30,160,175,3.3,160,174,6:30,5:42,14,13,0.96,0,0,--,--,--,--,0,0,0,45:30,0:00,27,0:00,No,00:01.93,8,0
Other,2020-09-13 20:06:34,false,Table Tennis,0,758,01:48:50,151,174,3.4,8,216,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:48:50,0:00,27,0:00,No,01:48:50.20,1,0
Running,2020-09-11 23:43:13,false,West Coast,4.71,240,00:27:19,169,198,3.6,158,188,5:48,3:53,18,9,1.09,0,0,--,--,--,--,0,0,0,27:19,0:00,29,0:00,No,03:21.65,5,0
Running,2020-09-09 00:13:56,false,West Coast,12.01,689,01:22:23,172,184,4,157,170,6:52,5:37,32,24,0.93,0,0,--,--,--,--,0,0,0,1:22:23,0:00,28,0:00,No,00:02.09,13,0
Other,2020-09-06 20:01:04,false,Table Tennis,0,790,01:51:54,154,174,3.6,10,163,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:51:54,0:00,29,0:00,No,01:51:54.14,1,0
Running,2020-09-06 00:08:10,false,West Coast,8.8,480,00:59:25,164,180,3.5,158,174,6:45,5:48,38,21,0.94,0,0,--,--,--,--,0,0,0,59:25,0:00,28,0:00,No,05:10.19,9,0
Running,2020-09-03 23:43:02,false,West Coast,7.52,418,00:49:01,168,188,3.7,158,174,6:31,4:51,22,20,0.97,0,0,--,--,--,--,0,0,0,49:01,0:00,29,0:00,No,02:46.47,8,0
Running,2020-09-01 00:01:42,false,West Coast,4.01,207,00:22:51,167,193,3.3,163,182,5:42,4:23,18,21,1.08,0,0,--,--,--,--,0,0,0,22:51,0:00,29,0:00,No,00:02.29,5,0
Other,2020-08-30 19:58:07,false,Table Tennis,0,751,01:52:39,150,174,3.3,11,202,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:52:39,0:00,30,0:00,No,01:52:38.62,1,0
Running,2020-08-28 23:10:56,false,West Coast,10.01,557,01:08:50,167,180,3.6,157,166,6:53,5:47,22,21,0.93,0,0,--,--,--,--,0,0,0,1:08:50,0:00,30,0:00,No,00:02.37,11,0
Running,2020-08-27 00:15:45,false,West Coast,3.51,182,00:20:27,168,188,3.2,156,172,5:50,4:44,12,13,1.1,0,0,--,--,--,--,0,0,0,20:27,0:00,29,0:00,No,02:32.11,4,0
Running,2020-08-24 23:30:24,false,West Coast,9.01,498,01:00:53,167,185,3.7,154,164,6:46,5:20,22,20,0.96,0,0,--,--,--,--,0,0,0,1:00:53,0:00,29,0:00,No,00:02.70,10,0
Other,2020-08-22 20:02:00,false,Table Tennis,0,687,01:53:07,145,179,3,9,158,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:53:07,0:00,29,0:00,No,01:53:07.45,1,0
Running,2020-08-21 22:43:00,false,Bishan-Ang Mo Kio Park,5.01,264,00:28:51,175,191,3.8,160,172,5:46,4:53,14,16,1.08,0,0,--,--,--,--,0,0,0,28:51,0:00,30,0:00,No,00:01.57,6,0
Running,2020-08-18 23:33:02,false,West Coast,12.01,646,01:23:31,165,177,3.5,152,176,6:57,5:31,42,31,0.94,0,0,--,--,--,--,0,0,0,1:23:31,0:00,29,0:00,No,00:02.57,13,0
Other,2020-08-14 20:02:48,false,Table Tennis,0,684,01:56:51,144,172,3.4,8,163,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:56:51,0:00,28,0:00,No,01:56:51.23,1,0
